word,count,source_terms,sources,sample_context,normalization
abjad,2,abjad,IMG_3215.HEIC; IMG_3216.HEIC,abjad | -abjad—,kept
affarijiet,2,affarijiet,IMG_3199.HEIC; Untitled.pdf,affarijiet u postijiet. | affarijiet u postijiet.,kept
afrika,1,L-Afrika,IMG_3232.HEIC,4. L-Afrika hemm hafna iljunfanti grizi.,mapped
agħmel,3,Aghmel,1 - 0002.tif; 1 - 0004.tif; IMG_3206.HEIC,Aghmel tirku madwar il-prepo±izzjoni f'dawn is-sentenzi | Aghmel Iinja fahf il-vokali | Aghmel lista taEoééetti li pipéejt.,mapped
agħti,1,Aghti,IMG_3225.HEIC,A ra I-istruzzjonijiet u kompli I-istampa. Aghti I-kulur.,mapped
agħżel,6,Aghiel,1 - 0001.tif; IMG_3199.HEIC; IMG_3211.HEIC; IMG_3218.HEIC; IMG_3220.HEIC; IMG_3221.HEIC,Aghiel il-prepoiizzjoni t-tajba: | Aghiel 2 kelmiet bl-artiklu u ikteb 2 sentenzi. | Aghiel il-kelma t-ta jba.,mapped
ajruplan,3,ajruplan,1 - 0008.tif; IMG_3201.HEIC; IMG_3202.HEIC,ajruplan -CL- (A - | ajruplan | l- ajruplan,kept
akkwarju,1,fl-akkwarju,IMG_3223.HEIC,11-huta tghum fl-akkwarju.,mapped
alfabett,16,Alfabett; L-Alfabett; tal-alfabett,IMG_3250.HEIC; IMG_3251.HEIC; IMG_3252.HEIC; Untitled.pdf,L-Alfabett | L-Alfabett | L-Alfabett | L -Alfabett | L -Alfabett | Aghqqad I-ittri tal-alfabett wara xulxin.,"kept, mapped"
aljen,1,aljen,IMG_3201.HEIC,aljen,kept
ambulanza,1,ambulanza,IMG_3201.HEIC,ambulanza,kept
anke,1,anke,1 - 0009.tif,"baqar, il-moghoil in-naghaé, u anke t-tiéieéE Jien",kept
ankra,1,ankra,IMG_3201.HEIC,ankra,kept
annimal,1,Annimal,1 - 0010.tif,Annimal favorit:,kept
annimali,9,annimali; L-annimali,1 - 0009.tif; 1 - 0011.tif; IMG_3199.HEIC; IMG_3223.HEIC; IMG_3224.HEIC; IMG_3225.HEIC; Untitled.pdf,"6. L-annimali raw iewg kampijiet malli | L-annimali domestiéi | L-annimali domestiéi | Fir-razzett taghna ssib bosta annimali. Hemm il | L-artiklu niktbuh quddiem xi ismijiet ta' annimali, | L-artiklu niktbuh quddiem xi ismijiet ta' annimali,","kept, mapped"
anqbuta,1,anqbuta,Untitled.pdf,anqbuta,kept
appell,1,appell,Untitled.pdf,_appell,kept
april,1,April,IMG_3208.HEIC,April,kept
aqra,1,Aqra,Untitled.pdf,Aqra u imla I-vojt.,kept
aqsam,1,Aqsam,1 - 0005.tif,Aqsam if-triq,kept
ara,1,ara,Untitled.pdf,jisimha ara.,kept
arblu,1,I-arblu,Untitled.pdf,Pinéi I-arblu tar-razza tal-familja tieghek u imla I-vojt.,mapped
art,2,art,IMG_3203.HEIC; IMG_3222.HEIC,art | art.,kept
artiklu,20,Artiklu; bl-artiklu; I-artiklu; L-Artiklu,IMG_3199.HEIC; IMG_3200.HEIC; IMG_3201.HEIC; IMG_3202.HEIC; Untitled.pdf,"L-Artiklu: il- | L-artiklu niktbuh quddiem xi ismijiet ta' annimali, | L-artiklu il- niktbuh quddiem kliem li jibda b'dawn il- | z I-artiklu jsir bhall-konsonanti. | z I-artiklu jsir bhall-konsonanti. | Quddiem kliem li jibda bil-vokali, bl-gh u bl-h, I-artiklu | L -Artiklu: l- | -artiklu","kept, mapped"
astronawta,1,astronawta,IMG_3201.HEIC,——=astronawta,kept
attent,1,Attent,1 - 0005.tif,Attent,kept
awwissu,2,Awwissu; F'Awwissu,IMG_3208.HEIC; IMG_3209.HEIC,Awwissu | F'Awwissu,"kept, mapped"
aħdar,7,ahdar,1 - 0003.tif; IMG_3212.HEIC; IMG_3215.HEIC; IMG_3225.HEIC; IMG_3228.HEIC; IMG_3230.HEIC,"ahdar, | ta' Ivan hu ahdar, | ahdar",mapped
aħmar,5,ahmar; bl-ahmar,1 - 0012.tif; IMG_3212.HEIC; IMG_3215.HEIC; IMG_3230.HEIC; Untitled.pdf,"m ass ahmar, | ta' Ivan hu ahmar. | kultar ahmar. | bl-isfar u I-vokali bl-ahmar.",mapped
aħsel,1,Ahsel,IMG_3227.HEIC,2. Ahsel sew il-,mapped
aħħar,1,ahhara,Untitled.pdf,ahhara,mapped
bagalja,5,bagalja; Fil-bagalja,1 - 0003.tif,Fil-bagalja kien hemm qmis | Fil-bagalja kien hemm gerii | Fil-bagalja kien hemm xorz | It-tfal sabu bagalja mimlija,"kept, mapped"
ballun,6,ballun; bil-ballun,1 - 0002.tif; IMG_3215.HEIC; IMG_3220.HEIC; IMG_3222.HEIC; IMG_3223.HEIC,"11-ballun huwa | 11-ballun huwa tah ii-iuriieqa, | 11-ballun favorit tieghu huwa | bil-ballun. | bil-ballun. | 11-kelb ihobb jilghab bil-ballun.","kept, mapped"
bambin,2,Bambin,IMG_3209.HEIC; IMG_3214.HEIC,Bambin. | siéra-tal-Miliéd¯ Bambin,kept
banana,2,banana; fil-banana,IMG_3216.HEIC; IMG_3227.HEIC,", ninsab fil-banana u x-xemx. | banana","kept, mapped"
bandli,1,it-bandli,IMG_3207.HEIC,mmur it-bandli.,mapped
banju,5,Banju; tal-banju,1 - 0004.tif; 1 - 0006.tif; IMG_3204.HEIC; IMG_3213.HEIC,Banju | Banju | banju | 11-kamra tal-banju,"kept, mapped"
bank,4,bank; il-bank; it-bank,1 - 0001.tif; 1 - 0002.tif; 1 - 0005.tif; IMG_3202.HEIC,11-bank | bank | it-bank (wara / fuq) | IL-mara qieghda fu il-bank.,"kept, mapped"
baqra,5,baqra,IMG_3199.HEIC; IMG_3224.HEIC; IMG_3225.HEIC; Untitled.pdf,baqra | baqra | 11-baqra,kept
basal,2,basal,IMG_3228.HEIC,basal | basal,kept
basket,3,basket; fit-basket,IMG_3204.HEIC; IMG_3206.HEIC,X 'ghandi fit-basket tal-iskola? | Pindi 6 oééetti li ghandek fit-basket tal-iskola. | 7 basket tal-hwejjeé,"kept, mapped"
baħar,4,bahar; fil-bahar; I-bahar; it-bahar,IMG_3207.HEIC; IMG_3210.HEIC; IMG_3216.HEIC,"immur it-bahar | •mmur nghum fil-bahar. | , ninsab f is-sema u I-bahar.",mapped
beritta,2,beritta,IMG_3213.HEIC; IMG_3217.HEIC,beritta | beritta,kept
bieb,2,bieb,IMG_3202.HEIC; IMG_3203.HEIC,bieb | bieb,kept
biex,9,biex,1 - 0008.tif; 1 - 0011.tif; IMG_3204.HEIC; IMG_3209.HEIC; IMG_3211.HEIC; IMG_3219.HEIC; IMG_3226.HEIC; IMG_3227.HEIC; IMG_3228.HEIC,"Ikteb il-vokali biex tifforma keima. | il-kukkudrill biex jaqsmu x-xmara, | 1k teb in-numru biex t abbel I-oééetti.",kept
blu,3,blu,IMG_3212.HEIC; IMG_3215.HEIC; IMG_3230.HEIC,ta' Ivan hu blu. | blu. | safra u kalzetti blu. 1±-±arbun tieghu,kept
borma,2,Borma,1 - 0004.tif; IMG_3213.HEIC,Borma | borma,kept
borra,2,borra,IMG_3210.HEIC; IMG_3211.HEIC,7. borra | borra,kept
da,4,da,1 - 0013.tif; IMG_3233.HEIC; IMG_3240.HEIC,"omma ba 'da, | DA!A 'DA!A | DA!A 'DA!A",kept
dan,19,dan,1 - 0008.tif; IMG_3213.HEIC; IMG_3215.HEIC; IMG_3216.HEIC; IMG_3225.HEIC; Untitled.pdf,Ikteb iL-vokali tas dan il-kliem | Din jew Dan? | Ikteb Din •ew Dan.,kept
dawn,29,b'dawn; Dawn; f'dawn,1 - 0001.tif; 1 - 0002.tif; 1 - 0017.tif; 1 - 0018.tif; IMG_3199.HEIC; IMG_3202.HEIC; IMG_3228.HEIC; IMG_3250.HEIC; IMG_3251.HEIC; IMG_3252.HEIC; Untitled.pdf,"L-artiklu il- niktbuh quddiem kliem li jibda b'dawn il- | L-artiklu il- niktbuh quddiem kliem li jibda b'dawn il— | IkteWkliem li Jibdq b'dawn I-iteris | Dawn | (Jia dawn il-kliem u imla I-vojg: | F 'dawn is-7 kaxxi t'hawn taht, ikteb il-éranet tal-öimgha fl-ordni t-ta- | Aghmel tirku madwar il-prepo±izzjoni f'dawn is-sentenzi","kept, mapped"
daħħal,5,Dahhal,IMG_3254.HEIC; Untitled.pdf,Dahhal il- | Dahhal il-vokali fil-vojt. | Dahhal il-vokali fil-vojt.,mapped
din,14,Din,IMG_3213.HEIC; IMG_3214.HEIC; IMG_3217.HEIC; IMG_3225.HEIC; IMG_3226.HEIC; Untitled.pdf,Din jew Dan? | Ikteb Din •ew Dan. | Din jew Dan?,kept
doċċa,3,Doééa,1 - 0004.tif; IMG_3204.HEIC; IMG_3208.HEIC,Doééa | IO doééa | doééa,mapped
dublett,7,dublett,1 - 0003.tif; IMG_3211.HEIC; IMG_3212.HEIC,dublett | dublett | dublett,kept
dwar,3,dwar,1 - 0002.tif; IMG_3212.HEIC; IMG_3243.HEIC,"Ikteb 2 sentenzi dwar I-istampa: | Hares lejn I-istam a u imla I-vojt bi kliem dwar I-ilbies. | Dwar,i",kept
erbgħa,8,Erbgha; L-Erbgha,1 - 0015.tif; 1 - 0016.tif; IMG_3207.HEIC; IMG_3211.HEIC,L-Erbgha | L-Erbgha | L-Erbgha | -41-Erbgha,mapped
falz,5,Falz,1 - 0003.tif; 1 - 0011.tif; IMG_3205.HEIC,"Ei A. Immarka Veru jew Falz b'V | Veru Falz | Ei A, Immarka Veru Jew Falz b'V fil-kaxxa",kept
familja,7,familja; I-familja; il-familja; tal-familja,Untitled.pdf,11-familja | 11-familja | 11-familja tieghi | Ikteb I-ismijiet tal-membri tal-familja. | Pinéi I-arblu tar-razza tal-familja tieghek u imla I-vojt. | Fellow! Jien jisimni Karl u din il-familja tieghi.,"kept, mapped"
favorit,10,favorit,1 - 0010.tif; IMG_3210.HEIC; IMG_3215.HEIC,Kulur favorit: | Annimal favorit: | favorit,kept
favorita,2,favorita,1 - 0010.tif; IMG_3226.HEIC,Diska favorita: | Liema hi I-frotta favorita tieghek?,kept
fekruna,2,fekruna,IMG_3223.HEIC,11-fekruna timxi bit-mod. | fekruna,kept
fenek,7,fenek,1 - 0008.tif; IMG_3199.HEIC; IMG_3213.HEIC; IMG_3223.HEIC; IMG_3224.HEIC; Untitled.pdf,fenek 4 -e | fenek | fenek,kept
flokk,5,flokk,IMG_3211.HEIC; IMG_3212.HEIC; IMG_3215.HEIC; IMG_3216.HEIC,flokk | flokk | flokk,kept
frar,2,Frar,IMG_3208.HEIC; IMG_3209.HEIC,Frar | Frar.,kept
frott,6,Frott; il-frott; tal-Frott,IMG_3226.HEIC; IMG_3227.HEIC,11-Frott | 11-Frott | frott. | If forma kelma bl-ittri u ikteb il-frott fin-naha t'isfel. | Kom li din it-tisliba biex issib il-frott. | Insalata tal-Frott,"kept, mapped"
fuq,14,fuq,1 - 0001.tif; 1 - 0002.tif; 1 - 0005.tif; 1 - 0011.tif; IMG_3205.HEIC; IMG_3206.HEIC; IMG_3223.HEIC; IMG_3225.HEIC,"(near), maéenb (next to), fuq (on top). | is-siéar (wara / fuq) | it-bank (wara / fuq)",kept
gallettina,2,gallettina,IMG_3199.HEIC; Untitled.pdf,gallettina | gallettina,kept
gomma,3,gomma,1 - 0013.tif; IMG_3199.HEIC; Untitled.pdf,gomma roia u Celestio | -——:.-gomma | gomma,kept
gwardarobba,3,Gwardarobba,1 - 0006.tif; IMG_3203.HEIC; IMG_3212.HEIC,Gwardarobba | gwardarobba | Hares lejp&gwardarobba u ikteb il-hwe jeé.,kept
għadira,2,fl-ghadira; ghadira,IMG_3224.HEIC; IMG_3225.HEIC,ghadira. | papra fl-ghadira,mapped
għal,1,ghal,1 - 0017.tif,"jba u ghal kull jurnata, pinéi attivitä Ii taghmel f'dak il-jum,",mapped
għandek,2,ghandek,IMG_3206.HEIC; IMG_3227.HEIC,Pindi 6 oééetti li ghandek fit-basket tal-iskola. | Ghandek bionn:,mapped
għandi,4,ghandi,IMG_3206.HEIC; IMG_3214.HEIC; Untitled.pdf,X 'ghandi fil-pokit? | X 'ghandi fit-basket tal-iskola? | Jien ghandi,mapped
għandna,1,ghandna,1 - 0009.tif,li ghandna hemmhekk!,mapped
għandu,4,ghandu,IMG_3199.HEIC; IMG_3215.HEIC; IMG_3230.HEIC,TI- pappagall ghandu haCna kulurc | Huwa ghandu xaghru iswed. | Spot huwa kannella u ghandu,mapped
għar,2,ghar,IMG_3201.HEIC; IMG_3227.HEIC,ghar | 3. Qatta' kollox f'biééiet ±ghar bis-,mapped
għasfur,5,ghasfur; L-ghasfur,1 - 0001.tif; IMG_3202.HEIC; IMG_3223.HEIC; IMG_3224.HEIC,ghasfur | ghasfur | ghasfur | L-ghasfur qed itir | L-ghasfur ipespes psitt psitt fil-gaééa.,mapped
